project_id,n_tasks,n_employees,n_dependencies,det_duration_days,p10,p50,p90,schedule_risk_ratio,det_vs_p50_delta,critical_path_tasks,avg_employee_efficiency,mc_success,error_msg
bbc9e97d-81d4-4d1d-9b48-7f8dfe3124c7,5,2,2,1,1,1,1,0.0,0,4,1.0,True,
7b6864a2-270e-43fe-aa99-afc0b399bab2,5,1,3,2,2,2,3,0.5,0,2,1.0,True,
bc5c2932-f114-4e17-8463-8f7fdeed935c,4,1,2,2,1,2,2,0.0,0,2,1.0,True,
ca0bd65e-f51b-4d95-b26d-0cf7ffe0ca87,4,1,2,1,1,1,1,0.0,0,2,1.0,True,
d066abdf-16d7-4c20-a89d-abca15761934,3,1,1,1,1,1,1,0.0,0,2,1.0,True,
43b25cce-6cde-4f02-b974-d7e6bf40375a,3,1,1,1,1,1,1,0.0,0,2,1.0,True,
b65e5555-f9e9-4ee1-989d-53d75bb7b23f,2,1,1,1,1,1,1,0.0,0,2,1.0,True,
445fd794-7dcf-4319-ad2c-812c6159b395,2,1,1,1,1,1,1,0.0,0,2,1.0,True,
eb4cfb2c-a069-4d5a-8e69-a65ca147474e,6,2,3,1,1,1,1,0.0,0,2,1.0,True,
3ba975af-3c4f-476f-a3db-a5c6cd1c0a05,5,2,2,1,1,1,1,0.0,0,4,1.0,True,
3fc2aa2d-cbc0-4a5d-a0c5-daa2306ad2dc,6,1,4,1,1,1,1,0.0,0,4,1.0,True,
aa61571f-de7d-4da4-8126-472fb61a042c,9,3,6,60,53,62,72,0.1613,2,2,0.9851,True,
dd457b60-d92a-4b05-a94d-5796d90b0ba4,2,1,1,1,1,1,1,0.0,0,2,1.0,True,
05d51a0d-04e1-4d5e-a54f-6f333656dd13,8,5,5,1,1,1,1,0.0,0,4,1.0,True,
3e8ce9e6-61b6-480a-b4d2-13c8bcddd511,10,1,7,5,5,5,6,0.2,0,2,1.0,True,
bd16ce24-4af7-4093-84dd-1c63ccc1fc54,4,1,2,1,1,1,1,0.0,0,4,1.0,True,
c6553194-4ced-46e5-82af-05f58b6111f3,5,1,3,1,1,1,2,1.0,0,2,1.0,True,
43409797-0908-44be-87e6-843d665efcfd,3,1,1,1,1,1,1,0.0,0,2,1.0,True,
dfc16905-30f3-4b59-8738-518a299899fa,4,1,2,1,1,1,1,0.0,0,4,1.0,True,
3fa6197f-fb46-428d-aa08-78a55f605ad0,4,2,2,1,1,1,1,0.0,0,4,1.0,True,
ded91bde-268a-4e6e-ac11-4e5bc774ba2b,5,1,3,1,1,1,1,0.0,0,2,1.0,True,
3a0f51d0-6127-401d-96ee-945d681e5ad3,5,1,3,1,1,1,1,0.0,0,4,1.0,True,
af99da86-5501-465b-800c-8b0f9fa7f759,3,1,2,1,1,1,1,0.0,0,3,1.0,True,
fbb35dc7-6ee5-40d9-825c-0cda57adb032,2,1,1,1,1,1,1,0.0,0,2,1.0,True,
fc3bf7e2-2943-499a-9209-9a0c3ffe9bf0,3,1,2,1,1,1,1,0.0,0,2,1.0,True,
f3fd183f-fe8c-4cf7-af96-7d92b266385a,3,1,1,1,1,1,1,0.0,0,2,1.0,True,
130a15ae-9c40-4403-bc0d-a2679a60a187,4,1,3,1,1,1,1,0.0,0,2,1.0,True,
42308111-47bf-48cf-b1dc-003cce0deea8,2,1,1,1,1,1,1,0.0,0,2,1.0,True,
91ff94ad-1941-4b9e-867b-50282748d595,2,1,1,1,1,1,1,0.0,0,2,1.0,True,
66687108-a6f9-4d5a-93e0-e6c3aa407322,2,1,1,1,1,1,1,0.0,0,2,1.0,True,
d7cd2df4-d50c-481a-800c-82c130763518,3,1,2,3,3,3,4,0.3333,0,2,1.0,True,
218bb785-ea94-49c1-9d71-d8cf835a659c,3,1,2,1,1,1,1,0.0,0,2,1.0,True,
d4f04105-74e8-4539-9d67-e71d667b5a2e,3,1,1,1,1,1,1,0.0,0,2,1.0,True,
f930d1b2-fd7e-40a2-b2e9-f41bf159731f,2,1,1,1,1,1,1,0.0,0,2,1.0,True,
21c9eb71-9bf0-4c76-9b03-28df052c9376,2,1,1,1,1,1,1,0.0,0,2,1.0,True,
fb13c18b-b9af-4671-a44d-b92c12df24e0,4,2,2,1,1,1,1,0.0,0,4,1.0,True,
cb5dfdca-c3e9-45cc-b3f6-dd21a2195e52,4,11,3,362,337,387,436,0.1266,25,2,1.5574,True,
21a63a3c-47c0-4d91-8403-cae0f1e95f00,2,1,1,1,1,1,1,0.0,0,2,1.0,True,
7801302d-d897-4fab-adb2-df05eac78394,8,3,4,31,27,32,37,0.1562,1,2,1.1071,True,
80a2365c-ee64-4988-b8df-6f89d9a634b0,5,2,3,6,5,6,8,0.3333,0,2,0.9907,True,
4372e63e-6382-41cb-b263-282360f0119a,15,7,11,22,20,23,26,0.1304,1,2,0.9936,True,
e241a269-a138-4845-b2d5-6817c75e8266,12,4,8,7,6,7,9,0.2857,0,2,0.9888,True,
dd96f031-0740-4ebc-a1d2-aacbb7e8a7f0,30,6,16,29,26,30,36,0.2,1,2,1.0577,True,
17c647b1-b346-49ce-b28b-b33ddd386a5d,9,6,3,4,3,4,5,0.25,0,2,1.165,True,
94afa302-b029-45ac-83bf-3a4c303c69b4,11,6,7,42,37,43,50,0.1628,1,2,0.9925,True,
4faeb116-fc75-492e-9008-07138930158e,3,1,0,8,6,8,10,0.25,0,1,2.0,True,
38a3f151-4401-4463-b47c-851b2198167d,4,4,3,27,24,28,33,0.1786,1,2,2.0,True,
